index, real(in), imag(in), real(out), imag(out), error, f_in, f_out
130,  -0.26641005,   0.42311427,  -0.58486670,   0.81112939,  -0.06278610,  -0.20000000,  -0.20848431
131,  -0.17703940,   0.46760780,  -0.40137115,   0.91591549,  -0.05108453,  -0.20000000,  -0.20856279
132,  -0.08061070,   0.49345914,  -0.20046611,   0.97970062,  -0.03990556,  -0.20000000,  -0.20862664
133,   0.01903172,   0.49963766,   0.00883860,   0.99996096,  -0.02923393,  -0.20000000,  -0.20867653
134,   0.11791541,   0.48589706,   0.21726657,   0.97611231,  -0.01906013,  -0.20000000,  -0.20871307
135,   0.21209814,   0.45278513,   0.41569185,   0.90950549,  -0.00937079,  -0.20000000,  -0.20873690
136,   0.29782513,   0.40162197,   0.59552616,   0.80333591,  -0.00015447,  -0.20000000,  -0.20874861
137,   0.37167868,   0.33444726,   0.74908245,   0.66247678,   0.00860025,  -0.20000000,  -0.20874880
138,   0.43071446,   0.25393909,   0.86989290,   0.49324068,   0.01690862,  -0.20000000,  -0.20873806
139,   0.47257888,   0.16330710,   0.95296031,   0.30309507,   0.02478025,  -0.20000000,  -0.20871693
140,   0.49560291,   0.06616453,   0.99495494,   0.10032272,   0.03222658,  -0.20000000,  -0.20868595
141,   0.49886870,  -0.03361584,   0.99432981,  -0.10633993,   0.03925896,  -0.20000000,  -0.20864567
142,   0.48224601,  -0.13205603,   0.95135993,  -0.30808160,   0.04589273,  -0.20000000,  -0.20859660
143,   0.44639754,  -0.22523154,   0.86810654,  -0.49637786,   0.05213739,  -0.20000000,  -0.20853923
144,   0.39275247,  -0.30942771,   0.74830896,  -0.66335034,   0.05800248,  -0.20000000,  -0.20847405
145,   0.32344949,  -0.38128787,   0.59720308,  -0.80209011,   0.06350134,  -0.20000000,  -0.20840155
146,   0.24125148,  -0.43794715,   0.42128590,  -0.90692788,   0.06864738,  -0.20000000,  -0.20832217
147,   0.14943549,  -0.47714677,   0.22803520,  -0.97365290,   0.07345012,  -0.20000000,  -0.20823635
148,   0.05166192,  -0.49732387,   0.02558295,  -0.99967271,   0.07792283,  -0.20000000,  -0.20814455
149,  -0.04817127,  -0.49767411,  -0.17761798,  -0.98409951,   0.08207321,  -0.20000000,  -0.20804714
150,  -0.14608400,  -0.47818351,  -0.37315345,  -0.92776966,   0.08591267,  -0.20000000,  -0.20794454
151,  -0.23817277,  -0.43962908,  -0.55298978,  -0.83318800,   0.08945464,  -0.20000000,  -0.20783715
152,  -0.32076630,  -0.38354790,  -0.70979077,  -0.70441252,   0.09270668,  -0.20000000,  -0.20772533
153,  -0.39057174,  -0.31217575,  -0.83721769,  -0.54686981,   0.09568024,  -0.20000000,  -0.20760944
154,  -0.44480625,  -0.22835806,  -0.93017191,  -0.36712420,   0.09838486,  -0.20000000,  -0.20748985
155,  -0.48130760,  -0.13543637,  -0.98499221,  -0.17259890,   0.10083198,  -0.20000000,  -0.20736687
156,  -0.49862057,  -0.03711522,  -0.99958724,   0.02872842,   0.10303116,  -0.20000000,  -0.20724083
157,  -0.49605495,   0.06268560,  -0.97350842,   0.22865123,   0.10499000,  -0.20000000,  -0.20711204
158,  -0.47371304,   0.15998733,  -0.90795231,   0.41907346,   0.10672188,  -0.20000000,  -0.20698081
159,  -0.43248555,   0.25091082,  -0.80570239,   0.59232056,   0.10823248,  -0.20000000,  -0.20684741
160,  -0.37401611,   0.33183122,  -0.67100155,   0.74145597,   0.10953333,  -0.20000000,  -0.20671213
161,  -0.30063570,   0.39952242,  -0.50937587,   0.86054415,   0.11063198,  -0.20000000,  -0.20657521
162,  -0.21526980,   0.45128584,  -0.32740369,   0.94488454,   0.11153603,  -0.20000000,  -0.20643693
163,  -0.12132171,   0.48505777,  -0.13244438,   0.99119043,   0.11225510,  -0.20000000,  -0.20629752
164,  -0.02253687,   0.49949184,   0.06765795,   0.99770856,   0.11279870,  -0.20000000,  -0.20615719
165,   0.07714646,   0.49401256,   0.26488647,   0.96427959,   0.11317443,  -0.20000000,  -0.20601620
166,   0.17375417,   0.46883845,   0.45137218,   0.89233577,   0.11338996,  -0.20000000,  -0.20587473
167,   0.26343480,   0.42497307,   0.61970454,   0.78483522,   0.11345286,  -0.20000000,  -0.20573299
168,   0.34261304,   0.36416522,   0.76322192,   0.64613646,   0.11337089,  -0.20000000,  -0.20559117
169,   0.40813226,   0.28883916,   0.87627047,   0.48181951,   0.11315160,  -0.20000000,  -0.20544946
170,   0.45738041,   0.20199789,   0.95442230,   0.29845956,   0.11280257,  -0.20000000,  -0.20530802
171,   0.48839414,   0.10710354,   0.99464345,   0.10336556,   0.11232950,  -0.20000000,  -0.20516701
172,   0.49993697,   0.00793928,   0.99540907,  -0.09571223,   0.11173820,  -0.20000000,  -0.20502660
173,   0.49154872,  -0.09154149,   0.95675570,  -0.29089269,   0.11103819,  -0.20000000,  -0.20488693
174,   0.46356386,  -0.18737277,   0.88027465,  -0.47446451,   0.11023329,  -0.20000000,  -0.20474812
175,   0.41709802,  -0.27573404,   0.76904392,  -0.63919592,   0.10932919,  -0.20000000,  -0.20461033
176,   0.35400364,  -0.35310256,   0.62749755,  -0.77861851,   0.10833737,  -0.20000000,  -0.20447367
177,   0.27679619,  -0.41639391,   0.46125922,  -0.88726544,   0.10725789,  -0.20000000,  -0.20433825
178,   0.18855363,  -0.46308479,   0.27690610,  -0.96089697,   0.10609816,  -0.20000000,  -0.20420419
179,   0.09279400,  -0.49131382,   0.08171678,  -0.99665558,   0.10486223,  -0.20000000,  -0.20407157
180,  -0.00666507,  -0.49995556,  -0.11662593,  -0.99317592,   0.10356139,  -0.20000000,  -0.20394050
181,  -0.10585843,  -0.48866552,  -0.31031755,  -0.95063293,   0.10219575,  -0.20000000,  -0.20381105
182,  -0.20083150,  -0.45789376,  -0.49174902,  -0.87073696,   0.10076524,  -0.20000000,  -0.20368330
183,  -0.28779802,  -0.40886709,  -0.65381402,  -0.75665528,   0.09928134,  -0.20000000,  -0.20355734
184,  -0.36329082,  -0.34354007,  -0.79016930,  -0.61288863,   0.09775160,  -0.20000000,  -0.20343325
185,  -0.42430028,  -0.26451707,  -0.89548093,  -0.44509989,   0.09617617,  -0.20000000,  -0.20331106
186,  -0.46839407,  -0.17494853,  -0.96563876,  -0.25988808,   0.09455490,  -0.20000000,  -0.20319083
187,  -0.49381435,  -0.07840529,  -0.99791664,  -0.06451628,   0.09289933,  -0.20000000,  -0.20307264
188,  -0.49954766,   0.02126374,  -0.99106884,   0.13335131,   0.09120941,  -0.20000000,  -0.20295651
189,  -0.48536542,   0.12008505,  -0.94538260,   0.32596290,   0.08948901,  -0.20000000,  -0.20284250
190,  -0.45183304,   0.21411891,  -0.86266166,   0.50578141,   0.08774572,  -0.20000000,  -0.20273064
191,  -0.40028736,   0.29961646,  -0.74615920,   0.66576761,   0.08597947,  -0.20000000,  -0.20262095
192,  -0.33278337,   0.37316915,  -0.60044605,   0.79966527,   0.08419417,  -0.20000000,  -0.20251349
193,  -0.25201228,   0.43184465,  -0.43123609,   0.90223914,   0.08238988,  -0.20000000,  -0.20240824
194,  -0.16119416,   0.47330377,  -0.24515289,   0.96948445,   0.08057403,  -0.20000000,  -0.20230526
195,  -0.06394969,   0.49589357,  -0.04947984,   0.99877512,   0.07875062,  -0.20000000,  -0.20220454
196,   0.03584427,   0.49871352,   0.14812259,   0.98896903,   0.07691956,  -0.20000000,  -0.20210610
197,   0.13420923,   0.48165122,   0.33992350,   0.94045311,   0.07508470,  -0.20000000,  -0.20200996
198,   0.22722363,   0.44538683,   0.51841605,   0.85512853,   0.07324603,  -0.20000000,  -0.20191610
199,   0.31117931,   0.39136612,   0.67661786,   0.73633432,   0.07140728,  -0.20000000,  -0.20182455
200,   0.38272911,   0.32174277,   0.80833924,   0.58871698,   0.06957245,  -0.20000000,  -0.20173529
201,   0.43902063,   0.23929247,   0.90842265,   0.41805303,   0.06774139,  -0.20000000,  -0.20164832
202,   0.47780964,   0.14730227,   0.97294950,   0.23101783,   0.06591798,  -0.20000000,  -0.20156364
203,   0.49754974,   0.04943953,   0.99938971,   0.03493161,   0.06410218,  -0.20000000,  -0.20148124
204,   0.49745393,  -0.05039423,   0.98670304,  -0.16253345,   0.06229782,  -0.20000000,  -0.20140111
205,   0.47752607,  -0.14821890,   0.93537956,  -0.35364544,   0.06050490,  -0.20000000,  -0.20132324
206,   0.43856061,  -0.24013451,   0.84742045,  -0.53092241,   0.05872728,  -0.20000000,  -0.20124760
207,   0.38211098,  -0.32247666,   0.72626257,  -0.68741739,   0.05696483,  -0.20000000,  -0.20117420
208,   0.31042770,  -0.39196256,   0.57664454,  -0.81699514,   0.05521775,  -0.20000000,  -0.20110299
209,   0.22636853,  -0.44582203,   0.40441853,  -0.91457403,   0.05348968,  -0.20000000,  -0.20103396
210,   0.13328470,  -0.48190787,   0.21632735,  -0.97632086,   0.05178070,  -0.20000000,  -0.20096710
211,   0.03488719,  -0.49878141,   0.01973904,  -0.99980515,   0.05009079,  -0.20000000,  -0.20090237
212,  -0.06490118,  -0.49576995,  -0.17764553,  -0.98409456,   0.04842376,  -0.20000000,  -0.20083976
213,  -0.16210212,  -0.47299355,  -0.36808637,  -0.92979163,   0.04677964,  -0.20000000,  -0.20077923
214,  -0.25284052,  -0.43136027,  -0.54411453,  -0.83901095,   0.04516220,  -0.20000000,  -0.20072076
215,  -0.33349887,  -0.37252986,  -0.69881505,  -0.71530241,   0.04356767,  -0.20000000,  -0.20066431
216,  -0.40086159,  -0.29884776,  -0.82611191,  -0.56350613,   0.04199979,  -0.20000000,  -0.20060985
217,  -0.45224309,  -0.21325146,  -0.92099702,  -0.38956955,   0.04045866,  -0.20000000,  -0.20055735
218,  -0.48559496,  -0.11915343,  -0.97973186,  -0.20031346,   0.03894424,  -0.20000000,  -0.20050678
219,  -0.49958754,  -0.02030508,  -0.99999499,  -0.00316482,   0.03745651,  -0.20000000,  -0.20045809
220,  -0.49366298,   0.07935277,  -0.98097497,   0.19413432,   0.03599548,  -0.20000000,  -0.20041128
221,  -0.46805748,   0.17584704,  -0.92340344,   0.38383085,   0.03456115,  -0.20000000,  -0.20036627
222,  -0.42379189,   0.26533079,  -0.82952791,   0.55846524,   0.03315356,  -0.20000000,  -0.20032308
223,  -0.36263090,   0.34423658,  -0.70302218,   0.71116793,   0.03177638,  -0.20000000,  -0.20028163
224,  -0.28701288,   0.40941861,  -0.54884678,   0.83592296,   0.03042980,  -0.20000000,  -0.20024191
225,  -0.19995245,   0.45827833,  -0.37305832,   0.92780787,   0.02910995,  -0.20000000,  -0.20020387
226,  -0.10492049,   0.48886776,  -0.18256211,   0.98319429,   0.02782058,  -0.20000000,  -0.20016748
227,  -0.00570566,   0.49996746,   0.01514960,   0.99988526,   0.02656174,  -0.20000000,  -0.20013270
228,   0.09373665,   0.49113485,   0.21229471,   0.97720569,   0.02533340,  -0.20000000,  -0.20009950
229,   0.18944195,   0.46272212,   0.40110752,   0.91603100,   0.02413561,  -0.20000000,  -0.20006783
230,   0.27759472,   0.41586196,   0.57414460,   0.81875390,   0.02296831,  -0.20000000,  -0.20003766
231,   0.35468060,   0.35242257,   0.72457612,   0.68919474,   0.02182768,  -0.20000000,  -0.20000894
232,   0.41762638,   0.27493310,   0.84646457,   0.53244501,   0.02071758,  -0.20000000,  -0.19998166
233,   0.46392256,   0.18648285,   0.93498874,   0.35467744,   0.01963426,  -0.20000000,  -0.19995576
234,   0.49172351,   0.09059805,   0.98664451,   0.16288829,   0.01858520,  -0.20000000,  -0.19993122
235,   0.49992082,  -0.00889864,   0.99937487,  -0.03535371,   0.01756286,  -0.20000000,  -0.19990799
236,   0.48818770,  -0.10804056,   0.97266084,  -0.23223028,   0.01657103,  -0.20000000,  -0.19988604
237,   0.45699194,  -0.20287521,   0.90754074,  -0.41996402,   0.01560593,  -0.20000000,  -0.19986533
238,   0.40757725,  -0.28962183,   0.80657101,  -0.59113717,   0.01466750,  -0.20000000,  -0.19984582
239,   0.34191358,  -0.36482203,   0.67372030,  -0.73898643,   0.01376338,  -0.20000000,  -0.19982749
240,   0.26261881,  -0.42547780,   0.51422882,  -0.85765302,   0.01288611,  -0.20000000,  -0.19981028
241,   0.17285416,  -0.46917102,   0.33439025,  -0.94243467,   0.01203536,  -0.20000000,  -0.19979417
242,   0.07619831,  -0.49415970,   0.14130683,  -0.98996586,   0.01121139,  -0.20000000,  -0.19977912
243,  -0.02349534,  -0.49944767,  -0.05739057,  -0.99835181,   0.01041413,  -0.20000000,  -0.19976512
244,  -0.12225230,  -0.48482406,  -0.25384393,  -0.96724516,   0.00964354,  -0.20000000,  -0.19975209
245,  -0.21613541,  -0.45087191,  -0.44028226,  -0.89785939,   0.00890350,  -0.20000000,  -0.19974004
246,  -0.30140182,  -0.39894480,  -0.60931516,  -0.79292816,   0.00818631,  -0.20000000,  -0.19972891
247,  -0.37465221,  -0.33111286,  -0.75424725,  -0.65659046,   0.00749586,  -0.20000000,  -0.19971867
248,  -0.43296626,  -0.25008044,  -0.86932945,  -0.49423307,   0.00683215,  -0.20000000,  -0.19970930
249,  -0.47401920,  -0.15907799,  -0.94998878,  -0.31228399,   0.00618742,  -0.20000000,  -0.19970076
250,  -0.49617434,  -0.06173357,  -0.99302089,  -0.11793840,   0.00556946,  -0.20000000,  -0.19969302
